name,description
API,Application Programming Interfaceのこと
CI,Continuous Integrationのこと
CLI,Command Line Interfaceのこと
CPU,Central Processing Unitのこと
CSS,Cascading Style Sheetのこと
DNS,Domain Name Systemのこと
DOM,Document Object Modelのこと
HTML,HyperText Markup Languageのこと
HTTP,HyperText Transfer Protocolのこと
HTTPS,HyperText Transfer Protocol Secureのこと
IDE,Integrated Development Environmentのこと
IE,Id Est（ラテン語で「つまり」）、Internet Explorerのこと
IO,Input/Outputのこと
IP,Internet Protocolのこと
JSON,JavaScript Object Notationのこと
NFC,Near Field Communicationのこと
OS,Operating Systemのこと
RE,Regular Expressionのこと
RGB,Red Green Blueのこと
SDK,Software Development Kitのこと
SQL,Structured Query Languageのこと
SSH,Secure SHellのこと
SSL,Secure Sockets Layerのこと
UI,User Interfaceのこと
URI,Uniform Resource Identifierのこと
URL,Uniform Resource Locatorのこと
VM,Virtual Machineのこと
WIP,Work In Progress（作業中）のこと
WWW,World Wide Webのこと
XML,eXtensible Markup Languageのこと

